Región,Comuna,Tipo Remoción en masa,Factor desencadenante,Fecha Evento,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m),slope,PP,valor_humedad_suelo1,valor_humedad_suelo2,valor_humedad_suelo3,valor_humedad_suelo4
Los Lagos,Castro,Flujo,Precipitaciones,07/03/2001,-73.7855,-42.4686,WGS 84- UTM 18 S,-,37.616884807022636,11.358299430459738,0.460906982421875,0.4170989990234375,0.387939453125,0.4109344482421875
Los Lagos,Castro,Flujo,Precipitaciones,09/03/2001,-73.7855,-42.4686,WGS 84- UTM 18 S,-,37.616884807022636,282.98935897648335,0.4677581787109375,0.4677581787109375,0.466522216796875,0.4252777099609375
Los Lagos,Chaitén,Deslizamiento,Precipitaciones,03/05/2002,-72.6983,-42.4087,WGS 84- UTM 18 S,-,58.718333903300234,83.77190107293427,0.4369659423828125,0.437408447265625,0.4384002685546875,0.4389801025390625
Los Lagos,Río Negro,Deslizamiento,Precipitaciones,09/08/2002,-73.7889,-40.7083,WGS 84- UTM 18 S,6,40.09854835746149,101.3668923676014,0.515045166015625,0.5137176513671875,0.5192108154296875,0.517425537109375
Los Lagos,Osorno,Deslizamiento,Precipitaciones,22/08/2007,-73.6047,-40.575,WGS 84- UTM 18 S,126,42.977905777562356,0.0,0.4785308837890625,0.480499267578125,0.4778594970703125,0.500579833984375
Los Lagos,Huilaihué,Deslizamiento,Precipitaciones,10/09/2007,-72.6482,-42.0099,WGS 84- UTM 18 S,4,22.43710702667354,8.39935706043616,0.4371795654296875,0.4295196533203125,0.415435791015625,0.435821533203125
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,18/05/2008,-73.136,-41.7693,WGS 84- UTM 18 S,-,35.57377431858408,137.36621602624655,0.438995361328125,0.438995361328125,0.438995361328125,0.399932861328125
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,19/05/2008,-73.1317,-41.7676,WGS 84- UTM 18 S,-,35.57377431858408,2.2829198933213775,0.4152069091796875,0.4322662353515625,0.438995361328125,0.4051666259765625
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,20/05/2008,-73.1275,-41.7636,WGS 84- UTM 18 S,-,35.57377431858408,329.3022240982391,0.438995361328125,0.4389801025390625,0.430389404296875,0.4073944091796875
Los Lagos,Calbuco,Deslizamiento,Precipitaciones,21/05/2008,-73.1365,-41.7657,WGS 84- UTM 18 S,-,35.57377431858408,54.81642031669617,0.438995361328125,0.4389801025390625,0.4351654052734375,0.4118804931640625
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/06/2017,-72.978264,-41.495016,WGS 84- UTM 18 S,-,61.15031055454968,0.13943080976605415,,,,
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/06/2017,-72.978264,-41.495016,WGS 84- UTM 18 S,-,61.15031055454968,0.13943080976605415,,,,
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,15/06/2017,-72.962965,-41.468275,WGS 84- UTM 18 S,-,31.4251917445378,111.3892776593566,,,,
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,15/06/2017,-72.952511,-41.466,WGS 84- UTM 18 S,-,31.4251917445378,111.3892776593566,,,,
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,19/04/2010,-72.9516,-41.4679,WGS 84- UTM 18 S,56,31.4251917445378,8.144314362754812,,,,
Los Lagos,Chaitén,Deslizamiento,Precipitaciones,02/09/2011,-72.323,-43.3966,WGS 84- UTM 18 S,-,71.59438151589138,13.04017528455006,0.432647705078125,0.41607666015625,0.3790435791015625,0.41375732421875
Los Lagos,Puerto Montt,Deslizamiento,Precipitaciones,23/05/2013,-72.8086,-41.4982,WGS 84- UTM 18 S,30,34.974663212210174,6.788848647847772,0.438995361328125,0.438995361328125,0.41363525390625,0.426727294921875
Los Lagos,Frutillar,Flujo,Precipitaciones,02/06/2014,-73.029,-41.1379,WGS 84- UTM 18 S,62,27.267067561602225,182.04816982150078,0.3868255615234375,0.387664794921875,0.3883056640625,0.3826751708984375
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,01/06/2014,-73.7177,-40.5453,WGS 84- UTM 18 S,22,49.70032428319492,73.4884505867958,0.5200042724609375,0.5196685791015625,0.5197906494140625,0.50982666015625
Los Lagos,San Juan de la Costa,Deslizamiento,Precipitaciones,02/06/2014,-73.7177,-40.5453,WGS 84- UTM 18 S,22,49.70032428319492,152.30329468101263,0.519012451171875,0.5192718505859375,0.5197906494140625,0.51873779296875
