Región,Comuna,Factor desencadenante,Longitud,Latitud,Sistema Georeferencia,Cota (m.s.n.m),PP,valor_humedad_suelo1,valor_humedad_suelo2,valor_humedad_suelo3,valor_humedad_suelo4,Fecha Evento,Tipo Remoción en masa,Unnamed: 0,Valor,slope
Los Lagos,Castro,Precipitaciones,-73.7855,-42.4686,WGS 84- UTM 18 S,-,11.358299430459738,0.460906982421875,0.4170989990234375,0.387939453125,0.4109344482421875,07/03/2001,Flujo,0.0,1.0,37.616884807022636
Los Lagos,Castro,Precipitaciones,-73.7855,-42.4686,WGS 84- UTM 18 S,-,282.98935897648335,0.4677581787109375,0.4677581787109375,0.466522216796875,0.4252777099609375,09/03/2001,Flujo,1.0,1.0,37.616884807022636
Los Lagos,Chaitén,Precipitaciones,-72.6983,-42.4087,WGS 84- UTM 18 S,-,83.77190107293427,0.4369659423828125,0.437408447265625,0.4384002685546875,0.4389801025390625,03/05/2002,Deslizamiento,2.0,1.0,58.718333903300234
Los Lagos,Río Negro,Precipitaciones,-73.7889,-40.7083,WGS 84- UTM 18 S,6,101.3668923676014,0.515045166015625,0.5137176513671875,0.5192108154296875,0.517425537109375,09/08/2002,Deslizamiento,3.0,1.0,40.09854835746149
Los Lagos,Osorno,Precipitaciones,-73.6047,-40.575,WGS 84- UTM 18 S,126,0.0,0.4785308837890625,0.480499267578125,0.4778594970703125,0.500579833984375,22/08/2007,Deslizamiento,4.0,1.0,42.977905777562356
Los Lagos,Huilaihué,Precipitaciones,-72.6482,-42.0099,WGS 84- UTM 18 S,4,8.39935706043616,0.4371795654296875,0.4295196533203125,0.415435791015625,0.435821533203125,10/09/2007,Deslizamiento,5.0,1.0,22.43710702667354
Los Lagos,Calbuco,Precipitaciones,-73.136,-41.7693,WGS 84- UTM 18 S,-,137.36621602624655,0.438995361328125,0.438995361328125,0.438995361328125,0.399932861328125,18/05/2008,Deslizamiento,6.0,1.0,35.57377431858408
Los Lagos,Calbuco,Precipitaciones,-73.1317,-41.7676,WGS 84- UTM 18 S,-,2.2829198933213775,0.4152069091796875,0.4322662353515625,0.438995361328125,0.4051666259765625,19/05/2008,Deslizamiento,7.0,1.0,35.57377431858408
Los Lagos,Calbuco,Precipitaciones,-73.1275,-41.7636,WGS 84- UTM 18 S,-,329.3022240982391,0.438995361328125,0.4389801025390625,0.430389404296875,0.4073944091796875,20/05/2008,Deslizamiento,8.0,1.0,35.57377431858408
Los Lagos,Calbuco,Precipitaciones,-73.1365,-41.7657,WGS 84- UTM 18 S,-,54.81642031669617,0.438995361328125,0.4389801025390625,0.4351654052734375,0.4118804931640625,21/05/2008,Deslizamiento,9.0,1.0,35.57377431858408
Los Lagos,Puerto Montt,Precipitaciones,-72.978264,-41.495016,WGS 84- UTM 18 S,-,0.13943080976605415,,,,,23/06/2017,Deslizamiento,10.0,1.0,61.15031055454968
Los Lagos,Puerto Montt,Precipitaciones,-72.962965,-41.468275,WGS 84- UTM 18 S,-,111.3892776593566,,,,,15/06/2017,Deslizamiento,12.0,1.0,31.4251917445378
Los Lagos,Puerto Montt,Precipitaciones,-72.952511,-41.466,WGS 84- UTM 18 S,-,111.3892776593566,,,,,15/06/2017,Deslizamiento,13.0,1.0,31.4251917445378
Los Lagos,Puerto Montt,Precipitaciones,-72.9516,-41.4679,WGS 84- UTM 18 S,56,8.144314362754812,,,,,19/04/2010,Deslizamiento,14.0,1.0,31.4251917445378
Los Lagos,Chaitén,Precipitaciones,-72.323,-43.3966,WGS 84- UTM 18 S,-,13.04017528455006,0.432647705078125,0.41607666015625,0.3790435791015625,0.41375732421875,02/09/2011,Deslizamiento,15.0,1.0,71.59438151589138
Los Lagos,Puerto Montt,Precipitaciones,-72.8086,-41.4982,WGS 84- UTM 18 S,30,6.788848647847772,0.438995361328125,0.438995361328125,0.41363525390625,0.426727294921875,23/05/2013,Deslizamiento,16.0,1.0,34.974663212210174
Los Lagos,Frutillar,Precipitaciones,-73.029,-41.1379,WGS 84- UTM 18 S,62,182.04816982150078,0.3868255615234375,0.387664794921875,0.3883056640625,0.3826751708984375,02/06/2014,Flujo,17.0,1.0,27.267067561602225
